territorio histórico de origen;territorio histórico de destino;Anualidad;Flujo_migratorio
Gipuzkoa;Gipuzkoa;2020;14370
Gipuzkoa;Gipuzkoa;1991;7003
Gipuzkoa;Afuera de la C. A. de Euskadi;1992;4264
Gipuzkoa;Afuera de la C. A. de Euskadi;1993;4584
Gipuzkoa;Afuera de la C. A. de Euskadi;1994;4906
Gipuzkoa;Afuera de la C. A. de Euskadi;1995;4769
Gipuzkoa;Afuera de la C. A. de Euskadi;1996;5611
Gipuzkoa;Afuera de la C. A. de Euskadi;1997;3929
Gipuzkoa;Afuera de la C. A. de Euskadi;1998;4224
Gipuzkoa;Afuera de la C. A. de Euskadi;1999;4542
Gipuzkoa;Afuera de la C. A. de Euskadi;2000;4559
Gipuzkoa;Afuera de la C. A. de Euskadi;2001;5000
Gipuzkoa;Afuera de la C. A. de Euskadi;2002;5556
Gipuzkoa;Afuera de la C. A. de Euskadi;2003;6659
Gipuzkoa;Afuera de la C. A. de Euskadi;2004;6744
Gipuzkoa;Afuera de la C. A. de Euskadi;2005;6672
Gipuzkoa;Afuera de la C. A. de Euskadi;2006;8700
Gipuzkoa;Afuera de la C. A. de Euskadi;2007;8643
Gipuzkoa;Afuera de la C. A. de Euskadi;2008;9194
Gipuzkoa;Afuera de la C. A. de Euskadi;2009;9092
Gipuzkoa;Afuera de la C. A. de Euskadi;2010;8815
Gipuzkoa;Afuera de la C. A. de Euskadi;2011;9031
Gipuzkoa;Afuera de la C. A. de Euskadi;2012;8538
Gipuzkoa;Afuera de la C. A. de Euskadi;2013;10477
Gipuzkoa;Afuera de la C. A. de Euskadi;2014;10271
Gipuzkoa;Afuera de la C. A. de Euskadi;2015;10328
Gipuzkoa;Afuera de la C. A. de Euskadi;2016;9936
Gipuzkoa;Afuera de la C. A. de Euskadi;2017;10319
Gipuzkoa;Afuera de la C. A. de Euskadi;2018;10131
Gipuzkoa;Afuera de la C. A. de Euskadi;2019;10851
Gipuzkoa;Afuera de la C. A. de Euskadi;2020;9508
Gipuzkoa;Afuera de la C. A. de Euskadi;1991;4703
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1992;9006
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1993;9554
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1994;10809
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1995;11316
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1996;11299
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1997;12496
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1998;14372
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1999;16103
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2000;22286
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2001;28243
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2002;28386
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2003;30851
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2004;32859
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2005;36646
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2006;42468
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2007;46729
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2008;44630
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2009;38368
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2010;38591
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2011;41011
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2012;34362
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2013;33987
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2014;35491
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2015;35917
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2016;40126
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2017;41861
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2018;46982
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2019;52306
De fuera de la C. A. de Euskadi;C.A. de Euskadi;2020;35221
De fuera de la C. A. de Euskadi;C.A. de Euskadi;1991;12140
De fuera de la C. A. de Euskadi;Araba/Álava;1992;1613
De fuera de la C. A. de Euskadi;Araba/Álava;1993;1678
De fuera de la C. A. de Euskadi;Araba/Álava;1994;2033
De fuera de la C. A. de Euskadi;Araba/Álava;1995;2356
De fuera de la C. A. de Euskadi;Araba/Álava;1996;2416
De fuera de la C. A. de Euskadi;Araba/Álava;1997;2420
De fuera de la C. A. de Euskadi;Araba/Álava;1998;2648
De fuera de la C. A. de Euskadi;Araba/Álava;1999;3003
De fuera de la C. A. de Euskadi;Araba/Álava;2000;4266
De fuera de la C. A. de Euskadi;Araba/Álava;2001;5233
De fuera de la C. A. de Euskadi;Araba/Álava;2002;5649
De fuera de la C. A. de Euskadi;Araba/Álava;2003;5586
De fuera de la C. A. de Euskadi;Araba/Álava;2004;6585
De fuera de la C. A. de Euskadi;Araba/Álava;2005;6606
De fuera de la C. A. de Euskadi;Araba/Álava;2006;7297
De fuera de la C. A. de Euskadi;Araba/Álava;2007;8296
De fuera de la C. A. de Euskadi;Araba/Álava;2008;8302
De fuera de la C. A. de Euskadi;Araba/Álava;2009;7305
De fuera de la C. A. de Euskadi;Araba/Álava;2010;7355
De fuera de la C. A. de Euskadi;Araba/Álava;2011;7666
De fuera de la C. A. de Euskadi;Araba/Álava;2012;5714
De fuera de la C. A. de Euskadi;Araba/Álava;2013;6093
De fuera de la C. A. de Euskadi;Araba/Álava;2014;6660
De fuera de la C. A. de Euskadi;Araba/Álava;2015;6220
De fuera de la C. A. de Euskadi;Araba/Álava;2016;6897
De fuera de la C. A. de Euskadi;Araba/Álava;2017;7333
De fuera de la C. A. de Euskadi;Araba/Álava;2018;8128
De fuera de la C. A. de Euskadi;Araba/Álava;2019;8378
De fuera de la C. A. de Euskadi;Araba/Álava;2020;6024
De fuera de la C. A. de Euskadi;Araba/Álava;1991;2154
De fuera de la C. A. de Euskadi;Bizkaia;1992;4456
De fuera de la C. A. de Euskadi;Bizkaia;1993;4889
De fuera de la C. A. de Euskadi;Bizkaia;1994;5338
De fuera de la C. A. de Euskadi;Bizkaia;1995;5476
De fuera de la C. A. de Euskadi;Bizkaia;1996;4386
De fuera de la C. A. de Euskadi;Bizkaia;1997;6318
De fuera de la C. A. de Euskadi;Bizkaia;1998;7607
De fuera de la C. A. de Euskadi;Bizkaia;1999;8400
De fuera de la C. A. de Euskadi;Bizkaia;2000;12019
De fuera de la C. A. de Euskadi;Bizkaia;2001;15250
De fuera de la C. A. de Euskadi;Bizkaia;2002;15378
De fuera de la C. A. de Euskadi;Bizkaia;2003;17219
De fuera de la C. A. de Euskadi;Bizkaia;2004;18179
De fuera de la C. A. de Euskadi;Bizkaia;2005;19666
De fuera de la C. A. de Euskadi;Bizkaia;2006;23527
De fuera de la C. A. de Euskadi;Bizkaia;2007;24106
De fuera de la C. A. de Euskadi;Bizkaia;2008;22793
De fuera de la C. A. de Euskadi;Bizkaia;2009;20264
De fuera de la C. A. de Euskadi;Bizkaia;2010;20391
De fuera de la C. A. de Euskadi;Bizkaia;2011;22149
De fuera de la C. A. de Euskadi;Bizkaia;2012;18029
De fuera de la C. A. de Euskadi;Bizkaia;2013;16374
De fuera de la C. A. de Euskadi;Bizkaia;2014;16525
De fuera de la C. A. de Euskadi;Bizkaia;2015;17532
De fuera de la C. A. de Euskadi;Bizkaia;2016;20216
De fuera de la C. A. de Euskadi;Bizkaia;2017;20950
De fuera de la C. A. de Euskadi;Bizkaia;2018;23735
De fuera de la C. A. de Euskadi;Bizkaia;2019;27384
De fuera de la C. A. de Euskadi;Bizkaia;2020;17479
De fuera de la C. A. de Euskadi;Bizkaia;1991;5749
De fuera de la C. A. de Euskadi;Gipuzkoa;1992;2937
De fuera de la C. A. de Euskadi;Gipuzkoa;1993;2987
De fuera de la C. A. de Euskadi;Gipuzkoa;1994;3438
De fuera de la C. A. de Euskadi;Gipuzkoa;1995;3484
De fuera de la C. A. de Euskadi;Gipuzkoa;1996;4497
De fuera de la C. A. de Euskadi;Gipuzkoa;1997;3758
De fuera de la C. A. de Euskadi;Gipuzkoa;1998;4117
De fuera de la C. A. de Euskadi;Gipuzkoa;1999;4700
De fuera de la C. A. de Euskadi;Gipuzkoa;2000;6001
De fuera de la C. A. de Euskadi;Gipuzkoa;2001;7760
De fuera de la C. A. de Euskadi;Gipuzkoa;2002;7359
De fuera de la C. A. de Euskadi;Gipuzkoa;2003;8046
De fuera de la C. A. de Euskadi;Gipuzkoa;2004;8095
De fuera de la C. A. de Euskadi;Gipuzkoa;2005;10374
De fuera de la C. A. de Euskadi;Gipuzkoa;2006;11644
De fuera de la C. A. de Euskadi;Gipuzkoa;2007;14327
De fuera de la C. A. de Euskadi;Gipuzkoa;2008;13535
De fuera de la C. A. de Euskadi;Gipuzkoa;2009;10799
De fuera de la C. A. de Euskadi;Gipuzkoa;2010;10845
De fuera de la C. A. de Euskadi;Gipuzkoa;2011;11196
De fuera de la C. A. de Euskadi;Gipuzkoa;2012;10619
De fuera de la C. A. de Euskadi;Gipuzkoa;2013;11520
De fuera de la C. A. de Euskadi;Gipuzkoa;2014;12306
De fuera de la C. A. de Euskadi;Gipuzkoa;2015;12165
De fuera de la C. A. de Euskadi;Gipuzkoa;2016;13013
De fuera de la C. A. de Euskadi;Gipuzkoa;2017;13578
De fuera de la C. A. de Euskadi;Gipuzkoa;2018;15119
De fuera de la C. A. de Euskadi;Gipuzkoa;2019;16544
De fuera de la C. A. de Euskadi;Gipuzkoa;2020;11718
De fuera de la C. A. de Euskadi;Gipuzkoa;1991;4237
